"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.318412377E1,6.031317667E1,2.503341500E1,4.169938854E1,1.282687783E0,9.983999634E1,1.399999976E0,3.599999905E0
4.418396862E1,6.031317333E1,2.503343333E1,4.139943049E1,1.299158931E0,9.962999725E1,1.399999976E0,3.599999905E0
4.516783393E1,6.031317000E1,2.503345167E1,4.099947244E1,1.298129439E0,9.955999756E1,1.399999976E0,3.599999905E0
4.618299970E1,6.031316667E1,2.503347167E1,4.059951788E1,1.304306149E0,9.923999786E1,1.399999976E0,3.599999905E0
4.717855731E1,6.031316500E1,2.503349500E1,4.019956858E1,1.305850267E0,9.793000031E1,1.399999976E0,3.700000048E0
4.816986585E1,6.031316333E1,2.503351333E1,3.979960878E1,1.299673557E0,9.800000000E1,1.399999976E0,3.700000048E0
4.917135970E1,6.031316167E1,2.503353333E1,3.939965249E1,1.304820776E0,1.004300003E2,1.399999976E0,3.599999905E0
5.016727639E1,6.031316167E1,2.503355667E1,3.899970144E1,1.306365013E0,9.970999908E1,1.299999952E0,3.599999905E0
5.116837323E1,6.031316000E1,2.503357833E1,3.869974864E1,1.302247167E0,9.887999725E1,1.299999952E0,3.599999905E0
5.219378523E1,6.031316000E1,2.503360000E1,3.819979409E1,1.303791404E0,9.973000336E1,1.299999952E0,3.599999905E0
5.317999270E1,6.031316000E1,2.503362167E1,3.749983955E1,1.299158931E0,1.008199997E2,1.299999952E0,3.500000000E0
5.417059170E1,6.031315667E1,2.503364500E1,3.699989199E1,1.291438103E0,1.034100037E2,1.299999952E0,3.500000000E0
5.517804031E1,6.031315333E1,2.503366833E1,3.639994443E1,1.284746647E0,1.023399963E2,1.299999952E0,3.400000095E0
5.616749139E1,6.031315167E1,2.503369000E1,3.579999162E1,1.273937464E0,1.021699982E2,1.299999952E0,3.400000095E0
5.717134131E1,6.031315000E1,2.503371333E1,3.520004232E1,1.273937464E0,1.025999985E2,1.299999952E0,3.500000000E0
5.817664900E1,6.031314833E1,2.503373667E1,3.450009301E1,1.279599428E0,1.039800034E2,1.299999952E0,3.500000000E0
5.918324093E1,6.031314500E1,2.503376000E1,3.390014545E1,1.287320256E0,1.038700027E2,1.299999952E0,3.500000000E0
6.017550277E1,6.031314167E1,2.503378333E1,3.340019789E1,1.293496966E0,1.037900009E2,1.299999952E0,3.599999905E0
6.117633608E1,6.031313833E1,2.503381000E1,3.330025732E1,1.309453368E0,1.030500031E2,1.299999952E0,3.599999905E0
6.216388839E1,6.031313500E1,2.503383500E1,3.310031326E1,1.320262551E0,1.037900009E2,1.299999952E0,3.500000000E0
6.318010039E1,6.031313333E1,2.503386167E1,3.270037094E1,1.323865533E0,1.021100006E2,1.200000048E0,3.400000095E0
6.416622500E1,6.031313167E1,2.503388833E1,3.230042863E1,1.331071615E0,1.017900009E2,1.200000048E0,3.400000095E0
6.517614677E1,6.031312833E1,2.503391333E1,3.200048457E1,1.340851426E0,1.012300034E2,1.200000048E0,3.400000095E0
6.618295054E1,6.031312667E1,2.503393833E1,3.210053876E1,1.340336680E0,9.906999969E1,1.200000048E0,3.400000095E0
6.717160654E1,6.031312500E1,2.503396333E1,3.200059295E1,1.341880798E0,1.016600037E2,1.299999952E0,3.500000000E0
6.816599108E1,6.031312167E1,2.503398667E1,3.210064539E1,1.332615852E0,1.040500031E2,1.299999952E0,3.500000000E0
6.916863485E1,6.031311833E1,2.503400833E1,3.200069433E1,1.328498006E0,1.043499985E2,1.299999952E0,3.500000000E0
7.018189393E1,6.031311667E1,2.503403167E1,3.220074502E1,1.324895024E0,1.056399994E2,1.299999952E0,3.500000000E0
7.117303200E1,6.031311500E1,2.503405667E1,3.240079922E1,1.321806669E0,1.049899979E2,1.299999952E0,3.500000000E0
7.217070862E1,6.031311000E1,2.503408167E1,3.240085689E1,1.316659451E0,1.045400009E2,1.299999952E0,3.500000000E0
7.316966677E1,6.031310833E1,2.503410500E1,3.240090759E1,1.319747806E0,1.034700012E2,1.299999952E0,3.500000000E0
7.417170739E1,6.031310500E1,2.503413000E1,3.240096352E1,1.326953888E0,1.028600006E2,1.299999952E0,3.500000000E0
7.516271416E1,6.031310000E1,2.503415500E1,3.220102120E1,1.332101107E0,1.025699997E2,1.299999952E0,3.500000000E0
7.616407977E1,6.031309667E1,2.503418167E1,3.210108063E1,1.342395544E0,1.015800018E2,1.299999952E0,3.500000000E0
7.718440493E1,6.031309167E1,2.503420833E1,3.190114180E1,1.352175236E0,1.020299988E2,1.299999952E0,3.500000000E0
7.817147054E1,6.031308833E1,2.503423500E1,3.170120123E1,1.366072774E0,1.026600037E2,1.299999952E0,3.500000000E0
7.916781239E1,6.031308500E1,2.503426167E1,3.150126066E1,1.371734738E0,1.034599991E2,1.299999952E0,3.500000000E0
8.017392747E1,6.031308000E1,2.503428833E1,3.130132184E1,1.377396703E0,1.030500031E2,1.299999952E0,3.500000000E0
8.116731816E1,6.031307667E1,2.503431333E1,3.120137777E1,1.370190501E0,1.042799988E2,1.299999952E0,3.500000000E0
8.218179077E1,6.031307167E1,2.503433500E1,3.110142845E1,1.372249484E0,1.040000000E2,1.299999952E0,3.500000000E0
8.316841639E1,6.031306500E1,2.503435833E1,3.100148438E1,1.374308348E0,1.047300034E2,1.299999952E0,3.500000000E0
8.416831239E1,6.031306000E1,2.503438167E1,3.100153856E1,1.366587520E0,1.057500000E2,1.299999952E0,3.500000000E0
8.519859208E1,6.031305500E1,2.503440167E1,3.100158574E1,1.365043283E0,1.043600006E2,1.299999952E0,3.500000000E0
8.617547816E1,6.031304833E1,2.503442167E1,3.100163467E1,1.362469673E0,1.038099976E2,1.399999976E0,3.500000000E0
8.717404008E1,6.031304500E1,2.503444000E1,3.110167662E1,1.356293082E0,1.031699982E2,1.399999976E0,3.500000000E0
8.818908370E1,6.031303833E1,2.503445833E1,3.120172205E1,1.349087000E0,1.024300003E2,1.399999976E0,3.500000000E0
8.917338062E1,6.031303167E1,2.503447833E1,3.150177098E1,1.342910290E0,1.016500015E2,1.399999976E0,3.500000000E0
9.017946378E1,6.031302667E1,2.503449833E1,3.170181817E1,1.333130598E0,1.041100006E2,1.399999976E0,3.500000000E0
9.117386585E1,6.031302000E1,2.503452167E1,3.190187409E1,1.344969153E0,1.046200027E2,1.399999976E0,3.500000000E0
9.217030931E1,6.031301500E1,2.503454333E1,3.200192477E1,1.340336680E0,1.040699997E2,1.399999976E0,3.500000000E0
9.316604431E1,6.031301167E1,2.503456500E1,3.210197371E1,1.327983379E0,1.019599991E2,1.399999976E0,3.500000000E0
9.416422870E1,6.031300667E1,2.503459000E1,3.220203139E1,1.327983379E0,1.008399963E2,1.399999976E0,3.500000000E0
9.518135231E1,6.031300167E1,2.503461333E1,3.240208557E1,1.325409770E0,1.007099991E2,1.399999976E0,3.500000000E0
9.617327670E1,6.031299333E1,2.503463333E1,3.250213624E1,1.306879759E0,1.031399994E2,1.399999976E0,3.400000095E0
9.717246770E1,6.031298667E1,2.503465500E1,3.240218867E1,1.311512232E0,1.075299988E2,1.399999976E0,3.400000095E0
9.817384493E1,6.031297833E1,2.503468333E1,3.240225682E1,1.329527497E0,1.365000000E2,1.399999976E0,3.400000095E0
9.917328747E1,6.031297000E1,2.503470833E1,3.230231798E1,1.343425035E0,1.262200012E2,1.399999976E0,3.400000095E0
1.001672791E2,6.031295667E1,2.503472833E1,3.240237388E1,1.407765269E0,1.188700027E2,1.399999976E0,3.400000095E0
1.011813173E2,6.031294000E1,2.503474167E1,3.250241928E1,1.435045600E0,1.188700027E2,1.399999976E0,3.400000095E0
1.021826730E2,6.031292667E1,2.503474167E1,3.250243322E1,1.461296439E0,1.476999969E2,1.399999976E0,3.400000095E0
1.031723425E2,6.031291333E1,2.503473000E1,3.250242268E1,1.476738095E0,1.638800049E2,1.399999976E0,3.500000000E0
1.041645305E2,6.031290500E1,2.503471333E1,3.230239643E1,1.477767467E0,1.796100006E2,1.399999976E0,3.500000000E0
1.051655920E2,6.031290000E1,2.503469167E1,3.220235621E1,1.471590877E0,2.018200073E2,1.399999976E0,3.500000000E0
1.061707612E2,6.031290000E1,2.503466833E1,3.200230726E1,1.471076131E0,2.243800049E2,1.399999976E0,3.500000000E0
1.071721416E2,6.031290167E1,2.503464833E1,3.180226356E1,1.447398901E0,2.487599945E2,1.399999976E0,3.500000000E0
1.081656748E2,6.031290667E1,2.503462833E1,3.160221637E1,1.400044441E0,2.697399902E2,1.399999976E0,3.500000000E0
1.091741887E2,6.031291000E1,2.503460667E1,3.150216743E1,1.357837200E0,2.781600037E2,1.399999976E0,3.500000000E0
1.101764083E2,6.031291167E1,2.503458500E1,3.130212023E1,1.280628920E0,2.795899963E2,1.399999976E0,3.500000000E0
1.111650472E2,6.031291500E1,2.503456000E1,3.100206430E1,1.237906933E0,2.828800049E2,1.399999976E0,3.500000000E0
1.121756158E2,6.031291667E1,2.503453667E1,3.060201361E1,1.186434746E0,2.844700012E2,1.399999976E0,3.500000000E0
1.131826286E2,6.031291833E1,2.503451167E1,3.000195942E1,1.182831645E0,2.863399963E2,1.399999976E0,3.400000095E0
