"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.091729582E2,6.031351333E1,2.503282500E1,2.719779854E1,1.460781693E0,2.045000076E1,1.600000024E0,3.400000095E0
2.101669515E2,6.031352500E1,2.503283333E1,2.729780382E1,1.464899421E0,2.021999931E1,1.600000024E0,3.400000095E0
2.111726551E2,6.031353833E1,2.503284333E1,2.729781085E1,1.476738095E0,2.222999954E1,1.600000024E0,3.500000000E0
2.121828745E2,6.031355167E1,2.503285000E1,2.729781089E1,1.498871088E0,2.377000046E1,1.600000024E0,3.400000095E0
2.131639517E2,6.031356500E1,2.503285167E1,2.719780044E1,1.511739135E0,2.311000061E1,1.600000024E0,3.400000095E0
2.141689428E2,6.031358000E1,2.503286167E1,2.709780573E1,1.513797998E0,2.595000076E1,1.600000024E0,3.400000095E0
2.151744514E2,6.031359167E1,2.503287167E1,2.689781450E1,1.514827490E0,2.654999924E1,1.600000024E0,3.400000095E0
2.161740524E2,6.031360333E1,2.503288167E1,2.689782328E1,1.504533052E0,2.598999977E1,1.600000024E0,3.400000095E0
2.171734997E2,6.031361333E1,2.503288833E1,2.709782681E1,1.503503561E0,2.709000015E1,1.600000024E0,3.400000095E0
2.181674727E2,6.031362500E1,2.503289833E1,2.659783558E1,1.499385834E0,2.775000000E1,1.700000048E0,3.400000095E0
2.191651154E2,6.031364000E1,2.503291000E1,2.659784437E1,1.495268106E0,2.617000008E1,1.700000048E0,3.400000095E0
2.201736397E2,6.031365000E1,2.503292000E1,2.659785489E1,1.483944178E0,2.547999954E1,1.600000024E0,3.400000095E0
2.211655106E2,6.031366333E1,2.503293167E1,2.649786542E1,1.477767467E0,2.521999931E1,1.700000048E0,3.400000095E0
2.221823748E2,6.031367333E1,2.503294000E1,2.669787244E1,1.471590877E0,2.495000076E1,1.700000048E0,3.400000095E0
2.231686875E2,6.031368667E1,2.503295167E1,2.689788297E1,1.470561385E0,2.681999969E1,1.700000048E0,3.400000095E0
2.241695360E2,6.031369667E1,2.503296167E1,2.709789349E1,1.470561385E0,2.731999969E1,1.700000048E0,3.400000095E0
2.251626090E2,6.031370833E1,2.503297333E1,2.709790576E1,1.468502522E0,2.678000069E1,1.700000048E0,3.400000095E0
2.261604287E2,6.031372167E1,2.503298667E1,2.709791979E1,1.469017267E0,2.579999924E1,1.700000048E0,3.400000095E0
2.271703084E2,6.031373167E1,2.503299500E1,2.729792681E1,1.464384675E0,2.520000076E1,1.600000024E0,3.400000095E0
2.281811315E2,6.031374167E1,2.503300167E1,2.779793034E1,1.466443658E0,2.487000084E1,1.600000024E0,3.400000095E0
2.291815502E2,6.031375167E1,2.503300833E1,2.819793387E1,1.467987776E0,2.663999939E1,1.700000048E0,3.400000095E0
2.301706364E2,6.031376167E1,2.503301833E1,2.849794439E1,1.467987776E0,2.959000015E1,1.700000048E0,3.400000095E0
2.311642699E2,6.031377167E1,2.503302833E1,2.869795491E1,1.453575611E0,2.935000038E1,1.600000024E0,3.400000095E0
2.321642689E2,6.031378333E1,2.503304000E1,2.889796718E1,1.447913647E0,3.145000076E1,1.600000024E0,3.400000095E0
2.331724970E2,6.031379500E1,2.503305333E1,2.909798295E1,1.437104464E0,3.112999916E1,1.500000000E0,3.400000095E0
2.341660523E2,6.031380667E1,2.503306000E1,2.909798473E1,1.426810026E0,3.054999924E1,1.500000000E0,3.400000095E0
2.351671145E2,6.031381667E1,2.503307167E1,2.929799875E1,1.423206925E0,3.101000023E1,1.600000024E0,3.500000000E0
2.361660407E2,6.031383000E1,2.503308500E1,2.949801278E1,1.420118570E0,3.028000069E1,1.500000000E0,3.400000095E0
2.371645788E2,6.031384333E1,2.503309333E1,2.939801632E1,1.422692180E0,3.051000023E1,1.399999976E0,3.400000095E0
2.381629037E2,6.031385667E1,2.503310333E1,2.939802335E1,1.413427234E0,3.100000000E1,1.399999976E0,3.400000095E0
2.391783576E2,6.031386833E1,2.503311167E1,2.949802863E1,1.411882997E0,3.095000076E1,1.399999976E0,3.400000095E0
2.401725007E2,6.031388167E1,2.503312333E1,2.949803916E1,1.418059707E0,3.045999908E1,1.399999976E0,3.500000000E0
2.411689709E2,6.031389500E1,2.503313500E1,2.939804969E1,1.428354144E0,2.844000053E1,1.299999952E0,3.400000095E0
2.421576401E2,6.031390667E1,2.503314167E1,2.929805148E1,1.426810026E0,2.745999908E1,1.299999952E0,3.500000000E0
2.431686225E2,6.031392000E1,2.503315333E1,2.919806201E1,1.432986617E0,2.820000076E1,1.299999952E0,3.400000095E0
2.441771240E2,6.031393167E1,2.503316333E1,2.889807079E1,1.439163327E0,2.877000046E1,1.299999952E0,3.400000095E0
2.451545693E2,6.031394333E1,2.503317500E1,2.849808306E1,1.435560226E0,2.839999962E1,1.299999952E0,3.400000095E0
2.461554696E2,6.031395500E1,2.503318167E1,2.839808485E1,1.434016109E0,2.714999962E1,1.299999952E0,3.400000095E0
2.471661991E2,6.031396667E1,2.503319000E1,2.809809013E1,1.424751163E0,2.929999924E1,1.299999952E0,3.400000095E0
2.481615748E2,6.031397833E1,2.503320000E1,2.789809890E1,1.431442499E0,2.873999977E1,1.299999952E0,3.400000095E0
2.491725800E2,6.031398833E1,2.503321167E1,2.779811292E1,1.421662807E0,2.740999985E1,1.299999952E0,3.400000095E0
2.501657007E2,6.031400000E1,2.503322167E1,2.779812170E1,1.411368370E0,2.764999962E1,1.299999952E0,3.400000095E0
2.511582841E2,6.031401333E1,2.503322833E1,2.789812174E1,1.402103305E0,2.598999977E1,1.299999952E0,3.400000095E0
2.521727963E2,6.031402500E1,2.503323667E1,2.789812702E1,1.403647542E0,2.717000008E1,1.299999952E0,3.400000095E0
2.531674607E2,6.031403667E1,2.503324667E1,2.779813580E1,1.402103305E0,2.888999939E1,1.299999952E0,3.400000095E0
2.541935339E2,6.031404667E1,2.503326000E1,2.769815332E1,1.395926714E0,3.377000046E1,1.299999952E0,3.400000095E0
2.551651090E2,6.031405667E1,2.503327333E1,2.749817083E1,1.390264750E0,3.790000153E1,1.299999952E0,3.400000095E0
2.561623998E2,6.031406667E1,2.503328833E1,2.739819185E1,1.387691140E0,3.804999924E1,1.299999952E0,3.400000095E0
2.571864062E2,6.031408000E1,2.503330500E1,2.739821287E1,1.394897223E0,3.761999893E1,1.299999952E0,3.400000095E0
2.581787520E2,6.031409333E1,2.503331667E1,2.739822340E1,1.396956086E0,3.658000183E1,1.399999976E0,3.400000095E0
2.591668456E2,6.031410500E1,2.503333167E1,2.739824267E1,1.404162169E0,3.638999939E1,1.399999976E0,3.400000095E0
2.601711924E2,6.031411500E1,2.503335000E1,2.749827068E1,1.412397742E0,3.629999924E1,1.399999976E0,3.400000095E0
2.611587069E2,6.031412667E1,2.503336500E1,2.749828995E1,1.424236417E0,3.734999847E1,1.299999952E0,3.400000095E0
2.621692130E2,6.031413833E1,2.503337667E1,2.759830223E1,1.424751163E0,3.622000122E1,1.299999952E0,3.400000095E0
2.631668629E2,6.031415000E1,2.503339167E1,2.749832150E1,1.430927753E0,3.574000168E1,1.299999952E0,3.400000095E0
2.641707323E2,6.031416000E1,2.503340667E1,2.729834251E1,1.439678073E0,3.550000000E1,1.299999952E0,3.400000095E0
2.651816862E2,6.031417167E1,2.503342167E1,2.709836178E1,1.455119729E0,3.358000183E1,1.299999952E0,3.400000095E0
2.661834366E2,6.031418333E1,2.503343500E1,2.699837756E1,1.470046639E0,3.256999969E1,1.299999952E0,3.400000095E0
2.671743016E2,6.031419500E1,2.503345167E1,2.699840032E1,1.474164486E0,3.277000046E1,1.299999952E0,3.400000095E0
2.681752032E2,6.031420667E1,2.503346500E1,2.689841610E1,1.467473030E0,3.622999954E1,1.299999952E0,3.400000095E0
2.691720604E2,6.031421667E1,2.503348500E1,2.669844760E1,1.462840557E0,3.552999878E1,1.299999952E0,3.400000095E0
2.701799462E2,6.031422667E1,2.503350333E1,2.659847561E1,1.458208084E0,3.479999924E1,1.299999952E0,3.400000095E0
2.711883040E2,6.031423667E1,2.503351833E1,2.659849663E1,1.452546120E0,3.650000000E1,1.299999952E0,3.400000095E0
2.721839785E2,6.031424667E1,2.503353500E1,2.659852114E1,1.445854664E0,3.729999924E1,1.299999952E0,3.400000095E0
2.731658413E2,6.031425833E1,2.503354833E1,2.659853691E1,1.435560226E0,3.709999847E1,1.299999952E0,3.400000095E0
2.741667527E2,6.031426833E1,2.503356333E1,2.679855793E1,1.426295280E0,3.720000076E1,1.299999952E0,3.400000095E0
2.751718598E2,6.031428000E1,2.503357667E1,2.689857370E1,1.397985578E0,3.899000168E1,1.299999952E0,3.400000095E0
2.761777327E2,6.031429167E1,2.503359167E1,2.699859297E1,1.381514430E0,3.881000137E1,1.299999952E0,3.400000095E0
2.771707329E2,6.031430167E1,2.503360667E1,2.729861399E1,1.374823093E0,3.897000122E1,1.299999952E0,3.400000095E0
2.781661717E2,6.031431167E1,2.503362000E1,2.739863151E1,1.371734738E0,4.038000107E1,1.299999952E0,3.400000095E0
2.791675551E2,6.031432167E1,2.503363333E1,2.739864903E1,1.356293082E0,4.693000031E1,1.299999952E0,3.500000000E0
2.801679499E2,6.031433000E1,2.503364833E1,2.749867178E1,1.341366053E0,4.725000000E1,1.399999976E0,3.500000000E0
2.811683705E2,6.031433833E1,2.503366667E1,2.759870154E1,1.330556989E0,4.859000015E1,1.399999976E0,3.500000000E0
2.821734514E2,6.031434833E1,2.503368000E1,2.779871906E1,1.286805511E0,5.352999878E1,1.399999976E0,3.400000095E0
